YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1911,0.38,5.83,0.43,2.36,0.72,0.28,6.75,0.21,1.33,1.08,0.22,1.55,21.14
1912,0.02,1.28,0.61,0.5,1.58,0.96,3.35,2.37,0.73,2.81,0.01,0.38,14.6
1913,0.04,0.2,1.18,1.82,0.24,5.88,0.4,0.32,4.19,1.53,1.54,2.13,19.47
1914,0.15,0.1,0.31,1.46,4.04,3.86,6.17,5.95,0.46,7.12,0.35,1.47,31.44
1915,0.09,3,2.52,6.18,1.52,4.01,1.42,2.96,7.86,1.52,0.04,0.76,31.88
1916,0.17,T,1.15,2.63,0.39,1.52,0.36,2.45,2.79,2.91,0.55,0.11,15.03
1917,0.35,0.05,0.21,0.58,1.07,0.64,1.42,1.16,3.03,0.14,0.08,T,8.73
1918,0.84,0.58,0.05,0.72,1.67,2.95,0.53,0.79,0.79,0.51,0.69,2.03,12.15
1919,0.12,0.25,3.39,3.53,2.1,3.52,2.28,2.83,5.7,7.34,0.36,0.19,31.61
1920,1.27,0.11,0.24,0.15,2.91,3.66,2.19,2.64,1.63,1.43,2.22,0.09,18.54
1921,0.14,0.45,1.47,0.24,0.43,7.71,0.84,0.92,4.5,0.02,T,T,16.72
1922,0.34,0.2,0.55,3.59,3.5,2.43,1.36,0.28,0.17,0.56,1.5,0.07,14.55
1923,0.24,0.86,1.04,3.18,2.77,3.98,1.65,1.59,2.67,6.8,0.85,0.64,26.27
1924,T,0.17,0.96,0.86,0.9,1.79,1.2,1.76,1.25,0.47,0.03,0.15,9.54
1925,0.65,0.02,T,1.12,2.31,0.86,3.38,3.32,9.44,1.33,0.11,0.21,22.75
1926,0.56,0.04,1.64,1.81,5.14,1.1,1.03,2.75,4.15,8.4,0.67,1.63,28.92
1927,0.79,0.37,T,0.4,T,2.91,2.16,0.59,1.16,0.4,T,0.81,9.59
1928,0.31,1.18,T,0.15,3.08,1.06,6.78,4.04,0.08,2.1,0.74,0.28,19.8
1929,0.43,0.34,2.03,0.15,6.91,0.9,0.2,1.68,1.36,3.56,1,0.07,18.63
1930,0.61,0.03,0.45,1.04,1.71,1.7,0.12,1.34,0.11,3.91,0.94,1.44,13.4
1931,0.32,1.98,1.34,1.82,1.32,0.95,2.17,2.44,0.72,3.47,1.39,1.44,19.36
1932,0.93,1.09,0.04,1.84,2.37,5.66,1.9,3.15,3.41,1.29,T,2.48,24.16
1933,0.37,0.95,0.02,0.06,2.97,0.21,1.36,2.19,0.71,0.42,0.99,0.06,10.31
1934,0.06,0.06,1.98,1.08,1.26,0.28,0.65,1.66,1.86,0.28,0.55,T,9.72
1935,0.15,0.6,0.89,0.04,3.49,2.57,1.25,1.69,3.02,1.22,2.04,0.33,17.29
1936,1.08,0.02,0.59,0.92,5.86,0.92,1.05,0.13,13.93,1.52,0.74,0.21,26.97
1937,0.26,0.01,1.81,2.01,4,3.12,1.32,2.06,3.85,3.22,0.07,0.52,22.25
1938,0.91,1.18,0.49,0.14,1.99,5.89,4.01,0.47,0.63,0.51,0.27,0.03,16.52
1939,2.45,0.19,0.09,0.28,1.82,0.67,1.73,2.75,0.01,0.94,0.18,0.6,11.71
1940,0.23,1.97,T,1.84,1.74,2.06,T,1.57,0.73,1.07,2.35,0.2,13.76
1941,0.55,0.61,3.56,2.23,12.69,4.13,3.68,1.85,4.47,5.89,0.17,0.72,40.55
1942,0.04,0.18,0.51,3.25,0.35,1.74,2.58,4.97,7.61,3.39,0.01,2.8,27.43
1943,0.04,0.02,0.25,0.53,2.71,2.37,3.17,T,1.16,0.1,0.62,1.87,12.84
1944,1.28,1.36,1.09,0.84,3.03,1.75,2.93,2.37,3.73,0.8,1.72,1.64,22.54
1945,0.69,0.39,0.1,0.46,0.46,0.36,3.08,2.17,2.22,2.26,0.27,0.32,12.78
1946,1.18,0.15,0.76,0.07,1.49,2.72,0.58,3.55,3.59,4.67,0.44,1.04,20.24
1947,0.73,0.02,0.69,1.06,6.35,1.56,1.06,0.06,0.08,0.37,1.43,0.52,13.93
1948,0.14,1.38,0.17,0.33,2.88,2.31,1.75,0.31,1.45,0.98,0.03,0.13,11.86
1949,4.05,0.29,0.8,1.84,7.8,4.65,1.18,2.07,4.76,1.49,T,0.43,29.36
1950,0.28,0.18,T,0.88,3.93,0.68,3.12,2.08,3.74,0.14,0.03,0.03,15.09
1951,0.32,0.66,0.78,0.58,2.63,4.19,2.04,2.62,0.7,0.93,0.06,0.02,15.53
1952,0.98,0.05,0.04,2.3,1.39,1.94,3.24,1.88,0.92,0,0.96,0.06,13.76
1953,0.34,0.16,1.07,0.62,1.37,0.45,1.47,2.57,0.04,4.01,0.16,0.05,12.31
1954,0.06,0,0.04,1.91,4.45,0.51,0.19,2.92,0,2.82,T,1.09,13.99
1955,0.83,0,0.03,0.19,2.45,2.3,3.03,0.62,2.76,4.53,0.1,0,16.84
1956,0.01,1.59,0,0.36,1.8,3.26,0.69,1.06,0.03,1.73,T,0.3,10.83
1957,0.08,0.73,0.98,3.48,6.43,4.96,1.54,0.32,0.51,4.2,1.27,0.06,24.56
1958,1.35,0.33,3.23,1.97,2.94,0.71,2.65,0.21,2.9,0.94,0.34,0.02,17.59
1959,0.08,0.07,0,1.28,2.15,7.25,1.3,0.72,0.89,0.98,0.02,1.47,16.21
1960,0.66,0.94,0.61,0.26,1.16,5.72,5.37,0.05,0.34,5.83,0,1.25,22.19
1961,0.56,2.51,1.34,0.1,2.05,4.03,4.06,1.78,0.18,0.55,1.31,0.35,18.82
1962,0.26,0.02,0.1,1.2,0.1,2.56,4.85,1.31,4.17,2.66,0.45,0.67,18.35
1963,0.06,0.54,0.73,0.25,6.79,2.1,0.37,2.67,0.78,0.59,1.13,0.2,16.21
1964,0.45,0.16,0.64,0.11,1.67,5,0.82,1.14,2.46,0.3,0.57,0.9,14.22
1965,0.08,0.35,0.22,0.41,1.63,1.44,2.14,0.62,5.68,1.06,0.02,0.5,14.15
1966,0.52,0.06,0.13,3.03,0.67,2.27,0.57,8.85,2.18,0,0.11,0.03,18.42
1967,0,0.14,2.09,0.95,3.45,7.95,3.29,0.71,0.98,0.45,0.11,0.52,20.64
1968,0.94,0.82,2.77,0.58,2.01,1.81,3.14,2.72,0.67,0.81,2.67,0.48,19.42
1969,0,1.13,1.77,1.14,3.88,1.41,2.99,2.59,4.93,7.76,0.77,0.82,29.19
1970,0,0.11,2.15,0.26,4.3,1.36,0,1.18,1.8,1.34,0.05,0.08,12.63
1971,0,0.81,0.21,1.36,2.44,2.25,0.76,4.15,5.22,1.79,0.43,0.81,20.23
1972,0.16,0.13,T,0.35,3.2,5.37,4.47,5.4,2.95,1.75,0.97,0.32,25.07
1973,1.44,1.26,1.9,1.4,0.43,0.32,4.16,0.36,0.73,0.89,T,T,12.89
1974,0.08,0.01,1.56,0.82,1.23,1.11,2.22,5.14,6.62,3.89,0.89,0.44,24.01
1975,0.41,1.53,0.04,0.45,2.74,1.8,4.32,2.21,2.61,0.06,1.18,0.34,17.69
1976,T,0.03,0.24,1.76,1.19,2.46,7.2,1.99,3.28,1.39,0.56,0.01,20.11
1977,0.24,0.38,0.82,2.9,2.46,2.28,1.13,4.31,0.49,1.11,0.02,0.01,16.15
1978,0.59,1.39,0.23,0.21,3.2,1.93,0.15,0.34,3.29,1.06,1.11,0.17,13.67
1979,0.33,0.85,2.95,1.17,4,3.69,1.84,3.81,0.21,0.59,0.09,1.29,20.82
1980,0.54,0.38,0.19,1.13,3.46,1.78,0.2,1.64,3.55,0.19,2.29,0.51,15.86
1981,0.32,0.67,1.19,2.05,1.25,0.79,3.35,5.41,1.78,5.34,0.64,0.2,22.99
1982,0.05,0.39,0.44,2.53,4.54,4.99,2.08,1.08,1.29,0.48,1.18,1.95,21
1983,2.75,0.32,0.55,0.77,1.23,1.79,0.41,0.32,0.39,10.8,0.54,0.36,20.23
1984,0.03,0.17,0.23,0.23,0.45,4.32,0.53,3.72,0.15,1.74,1.87,1.18,14.62
1985,0.38,0.27,1.19,0.48,2.97,4.51,3.94,0.63,4.73,3.6,0.27,0.18,23.15
1986,0,0.94,0.39,0.72,1.82,4.92,1.41,3.6,6.9,2.89,1.73,1.29,26.61
1987,0.54,1.47,0.41,0.09,3.3,2.4,4.29,1.68,2.67,0.77,0.11,1.09,18.82
1988,0.22,0.45,0.79,1.08,2.64,1.03,2.93,0.92,2.29,0.02,0.19,0.56,13.12
1989,0.5,1.04,0.7,0.04,0.39,4.98,0.26,3.05,3.74,T,T,0.31,15.01
1990,0.37,2.14,0.87,1.44,1.15,T,3.13,1.87,1.24,1.91,1.29,0.42,15.83
1991,1.15,0.54,0.08,0.07,1.87,5.15,2.14,2.39,6.77,0.57,1.07,2.24,24.04
1992,1.32,2.01,1.36,1.26,5.25,4.4,1.71,1.56,0.69,T,1.47,1.36,22.39
1993,1.03,0.39,0.37,1.16,2.06,3.78,0.82,1.78,0.24,0.49,0.3,0.33,12.75
1994,0.39,0.18,0.17,2.9,4.14,0.48,2.07,0.2,1.1,0.64,0.7,0.15,13.12
1995,0.45,0.16,0.51,0.78,2.31,2.33,0.93,2.12,8.17,0.52,T,0.47,18.75
1996,0.19,0.06,0.09,0.11,2.76,2.8,2.24,4.52,0.63,0.33,0.37,0.02,14.12
1997,0.28,1.3,0.03,5.79,2.73,3.5,2.06,1.54,1.96,1.13,0.6,1.75,22.67
1998,T,1.86,1.33,0.4,0.04,1.31,0.23,4.26,0.02,3.05,0.29,0.26,13.05
1999,1.35,T,1.03,3.56,3.38,4.52,0.79,0.63,3.27,0.61,0,1.05,20.19
2000,T,0.05,2.78,1.67,0.78,8.48,2.06,0.01,T,3.27,1.25,0.92,21.27
2001,1.46,0.51,2.45,0.38,4.2,0.47,0.6,1.11,0.85,0.02,3.37,0.13,15.55
2002,0.62,0.51,2.15,1.26,0.37,3.06,1.4,1.31,1.38,5.26,0.38,1.57,19.27
2003,0.04,0.06,0.25,1.12,1.31,4.27,T,0.39,0.19,0.72,0.46,T,8.81
2004,1.9,1.88,1.85,2.98,1,3.08,3.22,2.29,5.38,2.33,6.65,0.69,33.25
2005,1.33,1.32,0.73,0.27,2.24,1.84,2.41,2.01,0.28,2.61,T,T,15.04
2006,T,0.18,1.62,0.77,2.15,0.57,0.62,1.51,4.87,1.3,0.26,1.71,15.56
2007,1.12,0.36,5.94,1.23,5.35,3.39,0.94,1.99,2.2,0.28,0.2,0.94,23.94
2008,0.07,0.72,0.1,1.07,5.32,2.91,1.77,3.48,8.7,3.77,0.08,0.01,28
2009,0.13,0.73,0.37,1.51,0.68,2.44,1.69,0.47,2.46,0.78,0.13,1.48,12.87
2010,1.41,1.78,2.85,4.65,1.14,2.55,7.14,1.33,0.93,2.61,0.07,T,26.46
2011,0.06,0.43,0.35,0,0.26,T,0.05,0.34,1.25,1.34,0.26,1.52,Â 5.86
2012,0.01,0.57,0.71,1.03,1.33,1.6,0.26,2.91,2.04,0.28,0.01,0.68,11.43
2013,0.92,1.31,T,0.04,1.15,1.67,3.37,1.32,0.54,1.15,0.54,0.6,12.61
2014,0,0.16,0.17,0.57,5.23,2.59,2.64,0.54,6.94,0.38,2.95,0.39,22.56
2015,1.61,0.66,0.3,1.24,12.12,2.15,3.96,0.25,0.49,4.29,0.81,1.57,29.45
2016,0.3,0.09,0.2,1.02,3.66,1.04,0.58,3.03,1.47,1.05,0.54,0.49,13.47
2017,2.03,0.89,0.67,1.32,0.58,1.78,5.84,4.85,3.46,0.5,0.03,T,21.95
2018,T,0.2,0.87,0.03,1.26,1.36,0.88,1.25,,,,,
