,id,row,tier,pix_count,hand_count
0,18PS8042,row-43,tier-19,875,59.0
1,18PS5068,row-34,tier-8,393,55.0
2,18PS7017,row-45,tier-10,205,64.0
3,18PS9015,row-42,tier-21,295,51.0
4,18PS1033,row-5,tier-5,105,49.0
5,18PS5146,row-32,tier-16,108,54.0
6,18PS1200,row-12,tier-21,753,60.0
7,18PS5080,row-36,tier-9,312,44.0
8,18PS6048,row-40,tier-6,159,44.0
9,18PS7039,row-45,tier-12,844,71.0
10,18PS6065,row-46,tier-7,68,67.0
11,18PS1042,row-4,tier-6,115,51.0
12,18PS7010,row-38,tier-10,333,66.0
13,18PS9012,row-39,tier-21,240,31.0
14,18PS1216,row-8,tier-23,141,29.0
15,18PS5044,row-30,tier-6,139,51.0
16,18PS7060,row-44,tier-14,366,68.0
17,18PS0062,row-18,tier-24,348,40.0
18,18PS1131,row-3,tier-15,270,53.0
19,18PS1102,row-4,tier-12,196,59.0
20,18PS5100,row-36,tier-11,393,58.0
21,18PS0016,row-19,tier-21,97,19.0
22,18PS8041,row-42,tier-19,247,40.0
23,18PS0003,row-17,tier-20,529,35.0
24,18PS9059,row-39,tier-24,294,40.0
25,18PS0058,row-14,tier-24,367,34.0
26,18PS0053,row-9,tier-24,161,27.0
27,18PS7070,row-43,tier-15,596,71.0
28,18PS7016,row-44,tier-10,125,52.0
29,18PS1064,row-6,tier-8,137,52.0
30,18PS6071,row-41,tier-8,22,49.0
31,18PS6069,row-39,tier-8,464,65.0
32,18PS8016,row-39,tier-17,337,44.0
33,18PS5120,row-36,tier-13,676,51.0
34,18PS5014,row-30,tier-3,91,35.0
35,18PS2024,row-14,tier-4,21,29.0
36,18PS7022,row-39,tier-11,681,58.0
37,18PS5098,row-34,tier-11,544,50.0
38,18PS7019,row-47,tier-10,481,64.0
39,18PS5162,row-28,tier-18,234,59.0
40,18PS1145,row-7,tier-16,612,43.0
41,18PS1114,row-6,tier-13,75,50.0
42,18PS9005,row-43,tier-20,201,36.0
43,18PS1210,row-12,tier-22,837,57.0
44,18PS1213,row-5,tier-23,618,64.0
45,18PS1076,row-8,tier-9,54,41.0
46,18PS2010,row-22,tier-2,6,63.0
47,18PS5009,row-35,tier-2,72,35.0
48,18PS3013,row-17,tier-10,232,48.0
49,18PS1037,row-9,tier-5,92,48.0
50,18PS8043,row-44,tier-19,626,69.0
51,18PS1110,row-12,tier-12,186,59.0
52,18PS9055,row-35,tier-24,376,31.0
53,18PS5017,row-33,tier-3,353,56.0
54,18PS1081,row-3,tier-10,106,48.0
55,18PS4047,row-13,tier-20,1025,44.0
56,18PS4018,row-17,tier-17,332,30.0
57,18PS5116,row-32,tier-13,511,48.0
58,18PS1173,row-5,tier-19,343,59.0
59,18PS1103,row-5,tier-12,386,44.0
60,18PS3032,row-14,tier-12,427,51.0
61,18PS1149,row-11,tier-16,1190,49.0
62,18PS5084,row-30,tier-10,506,38.0
63,18PS5128,row-34,tier-14,336,47.0
64,18PS2077,row-23,tier-8,301,59.0
65,18PS1191,row-3,tier-21,380,63.0
66,18PS1193,row-5,tier-21,294,45.0
67,18PS2003,row-15,tier-2,138,75.0
68,18PS3014,row-18,tier-10,192,38.0
69,18PS2050,row-18,tier-6,470,58.0
70,18PS7044,row-39,tier-13,651,62.0
71,18PS2007,row-19,tier-2,301,62.0
72,18PS1208,row-10,tier-22,274,51.0
73,18PS2041,row-20,tier-5,429,47.0
74,18PS1003,row-5,tier-2,92,46.0
75,18PS1040,row-12,tier-5,332,53.0
76,18PS1044,row-6,tier-6,199,46.0
77,18PS5131,row-27,tier-15,482,46.0
78,18PS6018,row-43,tier-3,197,56.0
79,18PS1099,row-11,tier-11,411,43.0
80,18PS5006,row-32,tier-2,115,54.0
81,18PS5077,row-33,tier-9,839,70.0
82,18PS5035,row-31,tier-5,560,65.0
83,18PS1179,row-11,tier-19,473,66.0
84,18PS7015,row-43,tier-10,395,52.0
85,18PS1017,row-9,tier-3,17,45.0
86,18PS5052,row-28,tier-7,98,51.0
87,18PS2004,row-16,tier-2,181,41.0
88,18PS9014,row-41,tier-21,237,34.0
89,18PS0037,row-14,tier-23,69,24.0
90,18PS1006,row-8,tier-2,155,54.0
91,18PS5112,row-28,tier-13,758,43.0
92,18PS5027,row-33,tier-4,375,49.0
93,18PS1009,row-11,tier-2,208,40.0
94,18PS1141,row-3,tier-16,14,47.0
95,18PS7033,row-39,tier-12,493,46.0
96,18PS0031,row-23,tier-22,347,40.0
97,18PS4022,row-21,tier-17,812,41.0
98,18PS1156,row-8,tier-17,240,34.0
99,18PS5029,row-35,tier-4,126,44.0
100,18PS4032,row-20,tier-18,868,50.0
101,18PS6080,row-39,tier-9,337,52.0
102,18PS4036,row-13,tier-19,1412,65.0
103,18PS1038,row-10,tier-5,290,68.0
104,18PS8013,row-47,tier-16,774,42.0
105,18PS5132,row-28,tier-15,1085,59.0
106,18PS5123,row-29,tier-14,528,47.0
107,18PS7054,row-38,tier-14,110,25.0
108,18PS1126,row-8,tier-14,662,50.0
109,18PS1151,row-3,tier-17,9,60.0
110,18PS3008,row-23,tier-9,834,61.0
111,18PS5049,row-35,tier-6,247,45.0
112,18PS2037,row-16,tier-5,61,42.0
113,18PS3041,row-23,tier-12,270,56.0
114,18PS1069,row-11,tier-8,228,38.0
115,18PS3021,row-14,tier-11,43,39.0
116,18PS9025,row-41,tier-22,143,31.0
117,18PS5008,row-34,tier-2,202,54.0
118,18PS9049,row-29,tier-24,87,30.0
119,18PS5121,row-27,tier-14,570,59.0
120,18PS1025,row-7,tier-4,244,47.0
121,18PS5026,row-32,tier-4,24,33.0
122,18PS6068,row-38,tier-8,192,54.0
123,18PS5024,row-30,tier-4,200,44.0
124,18PS6049,row-41,tier-6,208,59.0
125,18PS8001,row-46,tier-15,651,71.0
126,18PS1199,row-11,tier-21,551,51.0
127,18PS0044,row-21,tier-23,58,19.0
128,18PS1045,row-7,tier-6,446,60.0
129,18PS9010,row-37,tier-21,141,17.0
130,18PS1207,row-9,tier-22,59,35.0
131,18PS1014,row-6,tier-3,16,51.0
132,18PS1018,row-10,tier-3,111,41.0
133,18PS7043,row-38,tier-13,282,48.0
134,18PS8028,row-40,tier-18,627,60.0
135,18PS1092,row-4,tier-11,611,61.0
136,18PS8015,row-38,tier-17,175,40.0
137,18PS7004,row-43,tier-9,735,58.0
138,18PS4041,row-18,tier-19,487,32.0
139,18PS1155,row-7,tier-17,752,60.0
140,18PS1023,row-5,tier-4,309,53.0
141,18PS3059,row-19,tier-14,74,32.0
142,18PS1203,row-5,tier-22,606,63.0
143,18PS1130,row-12,tier-14,834,65.0
144,18PS6067,row-37,tier-8,420,66.0
145,18PS5125,row-31,tier-14,658,70.0
146,18PS9060,row-40,tier-24,442,43.0
147,18PS7005,row-44,tier-9,251,45.0
148,18PS1159,row-11,tier-17,807,62.0
149,18PS5104,row-30,tier-12,739,60.0
150,18PS8027,row-39,tier-18,57,29.0
151,Phytogen 802,row-23,tier-24,109,22.0
152,Phytogen 802,row-23,tier-24,109,39.0
153,Phytogen 802,row-47,tier-24,287,22.0
154,Phytogen 802,row-47,tier-24,287,39.0
155,18PS1028,row-10,tier-4,20,38.0
156,18PS2030,row-20,tier-4,196,40.0
157,18PS5041,row-27,tier-6,483,48.0
158,18PS5148,row-34,tier-16,379,50.0
159,18PS1214,row-6,tier-23,345,70.0
160,18PS2035,row-14,tier-5,66,26.0
161,18PS7062,row-46,tier-14,221,54.0
162,18PS2033,row-23,tier-4,294,40.0
163,18PS3016,row-20,tier-10,714,64.0
164,18PS5159,row-35,tier-17,685,76.0
165,18PS7036,row-42,tier-12,190,55.0
166,18PS0049,row-5,tier-24,210,27.0
167,18PS6054,row-46,tier-6,63,57.0
168,18PS0042,row-19,tier-23,287,37.0
169,18PS2031,row-21,tier-4,832,70.0
170,18PS0030,row-22,tier-22,342,45.0
171,18PS3067,row-16,tier-15,357,63.0
172,18PS5030,row-36,tier-4,150,39.0
173,18PS6066,row-47,tier-7,273,70.0
174,18PS4027,row-15,tier-18,533,74.0
175,18PS4015,row-14,tier-17,388,42.0
176,18PS1176,row-8,tier-19,683,56.0
177,18PS3040,row-22,tier-12,621,78.0
178,18PS9052,row-32,tier-24,74,18.0
179,18PS9006,row-44,tier-20,99,41.0
180,18PS3072,row-21,tier-15,594,49.0
181,18PS1164,row-6,tier-18,630,73.0
182,18PS5133,row-29,tier-15,708,54.0
183,18PS1142,row-4,tier-16,404,55.0
184,18PS8032,row-44,tier-18,473,41.0
185,18PS1052,row-4,tier-7,313,59.0
186,18PS5021,row-27,tier-4,164,44.0
187,18PS0010,row-13,tier-21,1030,42.0
188,18PS3015,row-19,tier-10,756,50.0
189,18PS8047,row-37,tier-20,205,26.0
190,18PS1174,row-6,tier-19,45,44.0
191,18PS2078,row-13,tier-9,668,70.0
192,18PS1116,row-8,tier-13,348,42.0
193,18PS1161,row-3,tier-18,312,49.0
194,18PS6070,row-40,tier-8,99,56.0
195,18PS6002,row-38,tier-2,87,64.0
196,18PS6001,row-37,tier-2,171,52.0
197,18PS9048,row-28,tier-24,186,28.0
198,18PS6011,row-47,tier-2,122,44.0
199,18PS1097,row-9,tier-11,94,47.0
200,18PS5138,row-34,tier-15,534,46.0
201,18PS5065,row-31,tier-8,462,52.0
202,18PS9027,row-43,tier-22,205,53.0
203,18PS5095,row-31,tier-11,440,52.0
204,18PS0061,row-17,tier-24,265,26.0
205,18PS1054,row-6,tier-7,404,108.0
206,18PS1127,row-9,tier-14,44,48.0
207,18PS1082,row-4,tier-10,501,55.0
208,18PS0023,row-15,tier-22,419,51.0
209,18PS1016,row-8,tier-3,148,41.0
210,18PS5152,row-28,tier-17,271,68.0
211,18PS6074,row-44,tier-8,151,72.0
212,18PS0059,row-15,tier-24,297,40.0
213,18PS5013,row-29,tier-3,266,73.0
214,18PS6079,row-38,tier-9,11,37.0
215,18PS8044,row-45,tier-19,448,62.0
216,18PS7014,row-42,tier-10,211,59.0
217,18PS9038,row-39,tier-23,333,32.0
218,18PS5102,row-28,tier-12,697,55.0
219,18PS5067,row-33,tier-8,361,52.0
220,18PS6078,row-37,tier-9,251,29.0
221,18PS5020,row-36,tier-3,304,50.0
222,18PS5158,row-34,tier-17,621,53.0
223,18PS0041,row-18,tier-23,487,30.0
224,18PS2070,row-16,tier-8,72,22.0
225,18PS4006,row-16,tier-16,671,43.0
226,18PS5037,row-33,tier-5,150,46.0
227,18PS1029,row-11,tier-4,260,65.0
228,18PS9040,row-41,tier-23,165,36.0
229,18PS6003,row-39,tier-2,193,56.0
230,18PS7027,row-44,tier-11,151,56.0
231,18PS6026,row-40,tier-4,82,49.0
232,18PS1088,row-10,tier-10,361,58.0
233,18PS6013,row-38,tier-3,130,56.0
234,18PS1046,row-8,tier-6,162,51.0
235,18PS8009,row-43,tier-16,955,53.0
236,18PS1215,row-7,tier-23,421,61.0
237,18PS1206,row-8,tier-22,246,47.0
238,18PS2068,row-14,tier-8,80,36.0
239,18PS5103,row-29,tier-12,1071,74.0
240,18PS5092,row-28,tier-11,496,46.0
241,18PS9029,row-45,tier-22,125,28.0
242,18PS1060,row-12,tier-7,401,72.0
243,18PS1189,row-11,tier-20,640,46.0
244,18PS8034,row-46,tier-18,607,77.0
245,18PS2054,row-22,tier-6,310,75.0
246,18PS6008,row-44,tier-2,48,56.0
247,18PS5031,row-27,tier-5,336,42.0
248,18PS9036,row-37,tier-23,144,9.0
249,18PS5153,row-29,tier-17,865,42.0
250,18PS6052,row-44,tier-6,24,46.0
251,18PS7053,row-37,tier-14,396,34.0
252,18PS3004,row-19,tier-9,744,71.0
253,18PS3044,row-15,tier-13,684,60.0
254,18PS5088,row-34,tier-10,422,42.0
255,18PS8020,row-43,tier-17,940,55.0
256,18PS5149,row-35,tier-16,497,64.0
257,18PS1109,row-11,tier-12,494,43.0
258,18PS5122,row-28,tier-14,756,50.0
259,18PS5130,row-36,tier-14,630,59.0
260,18PS9020,row-47,tier-21,152,24.0
261,18PS8022,row-45,tier-17,299,66.0
262,18PS7024,row-41,tier-11,361,65.0
263,18PS0052,row-8,tier-24,340,41.0
264,18PS4002,row-23,tier-15,1101,55.0
265,18PS9026,row-42,tier-22,68,22.0
266,18PS7072,row-45,tier-15,600,52.0
267,18PS2073,row-19,tier-8,359,55.0
268,18PS3025,row-18,tier-11,628,50.0
269,18PS1180,row-12,tier-19,375,52.0
270,18PS4004,row-14,tier-16,162,44.0
271,18PS4005,row-15,tier-16,1268,88.0
272,18PS9045,row-46,tier-23,284,49.0
273,18PS2009,row-21,tier-2,498,67.0
274,18PS7023,row-40,tier-11,494,77.0
275,18PS3022,row-15,tier-11,258,53.0
276,18PS1062,row-4,tier-8,292,62.0
277,18PS6061,row-42,tier-7,9,33.0
278,18PS5078,row-34,tier-9,846,77.0
279,18PS1098,row-10,tier-11,397,66.0
280,18PS2060,row-17,tier-7,81,19.0
281,18PS1205,row-7,tier-22,402,66.0
282,18PS9028,row-44,tier-22,241,29.0
283,18PS2046,row-14,tier-6,176,58.0
284,18PS3061,row-21,tier-14,1239,52.0
285,18PS7065,row-38,tier-15,68,38.0
286,18PS1172,row-4,tier-19,430,54.0
287,18PS5155,row-31,tier-17,920,57.0
288,18PS4029,row-17,tier-18,643,33.0
289,18PS5032,row-28,tier-5,161,53.0
290,18PS0004,row-18,tier-20,97,15.0
291,18PS2016,row-17,tier-3,146,49.0
292,18PS6027,row-41,tier-4,29,46.0
293,18PS6040,row-43,tier-5,254,54.0
294,18PS0047,row-3,tier-24,104,46.0
295,18PS5113,row-29,tier-13,696,54.0
296,18PS3045,row-16,tier-13,290,74.0
297,18PS5007,row-33,tier-2,237,30.0
298,18PS5111,row-27,tier-13,887,56.0
299,18PS2079,row-14,tier-9,145,55.0
300,18PS1196,row-8,tier-21,263,33.0
301,18PS1086,row-8,tier-10,449,63.0
302,18PS3039,row-21,tier-12,1046,77.0
303,18PS6059,row-40,tier-7,137,59.0
304,18PS4024,row-23,tier-17,867,36.0
305,18PS2026,row-16,tier-4,114,58.0
306,18PS9061,row-41,tier-24,112,26.0
307,18PS9018,row-45,tier-21,134,31.0
308,18PS1078,row-10,tier-9,155,73.0
309,18PS1195,row-7,tier-21,556,60.0
310,18PS1089,row-11,tier-10,404,58.0
311,18PS6076,row-46,tier-8,5,40.0
312,18PS4025,row-13,tier-18,811,60.0
313,18PS1002,row-4,tier-2,3,31.0
314,18PS3054,row-14,tier-14,566,66.0
315,18PS1067,row-9,tier-8,129,33.0
316,18PS1090,row-12,tier-10,836,64.0
317,18PS6073,row-43,tier-8,254,69.0
318,18PS5039,row-35,tier-5,272,55.0
319,18PS5137,row-33,tier-15,426,41.0
320,18PS5063,row-29,tier-8,512,62.0
321,18PS9043,row-44,tier-23,209,28.0
322,18PS9057,row-37,tier-24,253,26.0
323,18PS1096,row-8,tier-11,255,45.0
324,18PS9007,row-45,tier-20,467,37.0
325,18PS8026,row-38,tier-18,345,53.0
326,18PS1093,row-5,tier-11,443,54.0
327,18PS7012,row-40,tier-10,388,79.0
328,18PS8024,row-47,tier-17,855,68.0
329,18PS3027,row-20,tier-11,638,46.0
330,18PS1022,row-4,tier-4,4,42.0
331,18PS2015,row-16,tier-3,45,47.0
332,18PS0028,row-20,tier-22,392,24.0
333,18PS4026,row-14,tier-18,1020,56.0
334,18PS6023,row-37,tier-4,241,59.0
335,18PS3069,row-18,tier-15,1007,71.0
336,18PS9023,row-39,tier-22,548,45.0
337,18PS5129,row-35,tier-14,439,68.0
338,18PS6010,row-46,tier-2,3,37.0
339,18PS0063,row-19,tier-24,371,50.0
340,18PS4043,row-20,tier-19,401,49.0
341,18PS9047,row-27,tier-24,31,15.0
342,18PS1117,row-9,tier-13,319,54.0
343,18PS6045,row-37,tier-6,255,52.0
344,18PS1167,row-9,tier-18,98,46.0
345,18PS1197,row-9,tier-21,431,44.0
346,18PS8003,row-37,tier-16,718,29.0
347,18PS1070,row-12,tier-8,398,44.0
348,18PS5108,row-34,tier-12,476,42.0
349,18PS0029,row-21,tier-22,475,35.0
350,18PS2071,row-17,tier-8,209,51.0
351,18PS9032,row-33,tier-23,279,38.0
352,18PS0026,row-18,tier-22,127,19.0
353,18PS2058,row-15,tier-7,184,55.0
354,18PS1120,row-12,tier-13,843,52.0
355,18PS4010,row-20,tier-16,844,66.0
356,18PS4003,row-13,tier-16,1207,70.0
357,18PS6044,row-47,tier-5,204,59.0
358,18PS3029,row-22,tier-11,444,63.0
359,18PS7064,row-37,tier-15,578,34.0
360,18PS1201,row-3,tier-22,98,52.0
361,18PS4007,row-17,tier-16,753,46.0
362,18PS4014,row-13,tier-17,1093,68.0
363,18PS0066,row-22,tier-24,406,53.0
364,18PS1107,row-9,tier-12,134,48.0
365,18PS3024,row-17,tier-11,432,48.0
366,18PS2014,row-15,tier-3,156,46.0
367,18PS9031,row-47,tier-22,290,43.0
368,18PS7009,row-37,tier-10,604,33.0
369,18PS3017,row-21,tier-10,1142,59.0
370,18PS3023,row-16,tier-11,176,39.0
371,18PS1211,row-3,tier-23,296,55.0
372,18PS8045,row-46,tier-19,513,67.0
373,18PS5025,row-31,tier-4,739,77.0
374,18PS7038,row-44,tier-12,162,45.0
375,18PS5141,row-27,tier-16,411,33.0
376,18PS0013,row-16,tier-21,441,29.0
377,18PS3034,row-16,tier-12,655,60.0
378,18PS6077,row-47,tier-8,270,62.0
379,18PS8006,row-40,tier-16,687,42.0
380,18PS5117,row-33,tier-13,719,64.0
381,18PS2025,row-15,tier-4,310,53.0
382,18PS5105,row-31,tier-12,681,42.0
383,18PS3002,row-17,tier-9,191,47.0
384,18PS1077,row-9,tier-9,33,41.0
385,18PS5144,row-30,tier-16,279,64.0
386,18PS5034,row-30,tier-5,357,54.0
387,18PS4001,row-22,tier-15,646,63.0
388,18PS2045,row-13,tier-6,378,60.0
389,18PS1148,row-10,tier-16,845,57.0
390,18PS7025,row-42,tier-11,36,37.0
391,18PS3062,row-22,tier-14,277,69.0
392,18PS1108,row-10,tier-12,321,61.0
393,18PS3051,row-22,tier-13,336,59.0
394,18PS3048,row-19,tier-13,544,62.0
395,18PS6036,row-39,tier-5,521,67.0
396,18PS1121,row-3,tier-14,105,44.0
397,18PS1136,row-8,tier-15,330,54.0
398,18PS0002,row-16,tier-20,326,47.0
399,18PS0025,row-17,tier-22,73,28.0
400,18PS1212,row-4,tier-23,343,59.0
401,18PS6012,row-37,tier-3,182,53.0
402,18PS5070,row-36,tier-8,245,67.0
403,18PS2006,row-18,tier-2,626,59.0
404,18PS0022,row-14,tier-22,111,31.0
405,18PS6041,row-44,tier-5,126,55.0
406,18PS5058,row-34,tier-7,411,50.0
407,18PS8019,row-42,tier-17,5,29.0
408,18PS8031,row-43,tier-18,1159,69.0
409,18PS5054,row-30,tier-7,140,45.0
410,18PS1135,row-7,tier-15,241,40.0
411,18PS1059,row-11,tier-7,475,50.0
412,18PS5079,row-35,tier-9,192,48.0
413,18PS2080,row-15,tier-9,353,55.0
414,18PS6038,row-41,tier-5,130,55.0
415,18PS0011,row-14,tier-21,401,38.0
416,18PS2061,row-18,tier-7,113,39.0
417,18PS0008,row-22,tier-20,171,38.0
418,18PS8012,row-46,tier-16,142,61.0
419,18PS5142,row-28,tier-16,830,43.0
420,18PS8035,row-47,tier-18,115,51.0
421,18PS1194,row-6,tier-21,216,45.0
422,18PS9030,row-46,tier-22,90,24.0
423,18PS3043,row-14,tier-13,254,54.0
424,18PS2064,row-21,tier-7,419,64.0
425,18PS0035,row-12,tier-23,247,29.0
426,18PS1095,row-7,tier-11,411,54.0
427,18PS5066,row-32,tier-8,94,30.0
428,18PS2002,row-14,tier-2,147,62.0
429,18PS1153,row-5,tier-17,366,59.0
430,18PS2065,row-22,tier-7,30,44.0
431,18PS7046,row-41,tier-13,859,76.0
432,18PS1041,row-3,tier-6,44,50.0
433,18PS1129,row-11,tier-14,420,47.0
434,18PS1039,row-11,tier-5,300,64.0
435,18PS6043,row-46,tier-5,61,60.0
436,18PS5074,row-30,tier-9,236,59.0
437,18PS8021,row-44,tier-17,594,56.0
438,18PS1183,row-5,tier-20,281,70.0
439,18PS0020,row-23,tier-21,250,36.0
440,18PS5147,row-33,tier-16,275,50.0
441,18PS5161,row-27,tier-18,325,54.0
442,18PS1125,row-7,tier-14,288,53.0
443,18PS1144,row-6,tier-16,460,57.0
444,18PS2019,row-20,tier-3,227,55.0
445,18PS1112,row-4,tier-13,347,49.0
446,18PS9033,row-34,tier-23,171,25.0
447,18PS3036,row-18,tier-12,697,35.0
448,18PS1074,row-6,tier-9,93,47.0
449,18PS1091,row-3,tier-11,291,52.0
450,18PS7051,row-46,tier-13,194,42.0
451,18PS5099,row-35,tier-11,361,55.0
452,18PS9044,row-45,tier-23,232,48.0
453,18PS9037,row-38,tier-23,443,55.0
454,18PS4016,row-15,tier-17,391,43.0
